Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.18,-.30,-.05,-.39,-.13,-.01,-.79,-.49,-.32,-.15,-.11,-.04,.05,.69
1881,-.09,-.19,.00,-.36,.10,-.07,-.85,-.44,-.24,.09,.10,-.06,-.07,.61
1882,-.11,-.22,-.01,-.31,-.05,.01,-1.34,-.26,-.17,-.06,-.05,.01,.04,.64
1883,-.17,-.29,-.07,-.34,-.17,-.01,-.12,-.54,-.28,-.18,-.15,-.04,.07,.52
1884,-.28,-.43,-.15,-.60,-.15,-.14,-1.26,-.63,-.48,-.14,-.17,-.19,-.02,.67
1885,-.34,-.44,-.24,-.66,-.14,-.27,-1.46,-.68,-.48,-.08,-.20,-.34,-.15,.84
1886,-.32,-.44,-.20,-.57,-.21,-.21,-1.54,-.50,-.42,-.23,-.18,-.20,-.20,.61
1887,-.37,-.45,-.29,-.53,-.31,-.28,-1.72,-.50,-.32,-.31,-.30,-.28,-.26,.34
1888,-.18,-.25,-.12,-.42,.08,-.29,-1.26,-.43,-.26,.04,.12,-.31,-.22,.17
1889,-.11,-.18,-.04,-.29,.07,-.16,-.64,-.23,-.28,.00,.14,-.16,-.15,.46
1890,-.36,-.39,-.32,-.46,-.38,-.22,-1.09,-.56,-.28,-.29,-.47,-.18,-.27,.17
1891,-.22,-.26,-.19,-.41,-.09,-.21,-1.06,-.32,-.36,-.01,-.17,-.18,-.23,-.14
1892,-.27,-.40,-.15,-.42,-.31,-.08,-1.07,-.64,-.17,-.35,-.26,.02,-.21,.11
1893,-.31,-.47,-.16,-.50,-.38,-.05,-.62,-.53,-.47,-.44,-.32,.07,-.20,-.02
1894,-.31,-.39,-.22,-.32,-.36,-.24,-.93,-.32,-.18,-.51,-.20,-.15,-.35,-.36
1895,-.23,-.31,-.15,-.40,-.09,-.25,-.67,-.52,-.27,-.16,-.01,-.19,-.31,-.57
1896,-.12,-.21,-.03,-.35,.08,-.15,-.87,-.37,-.23,.02,.14,-.15,-.13,.27
1897,-.11,-.17,-.05,-.36,.15,-.23,-.55,-.46,-.25,.11,.20,-.19,-.27,.42
1898,-.28,-.30,-.26,-.36,-.23,-.26,-1.15,-.24,-.24,-.20,-.26,-.27,-.21,.39
1899,-.18,-.21,-.14,-.23,-.13,-.18,-1.00,-.08,-.15,-.17,-.08,-.15,-.22,.60
1900,-.09,-.10,-.06,-.20,.16,-.30,-.52,-.16,-.16,.07,.26,-.28,-.29,.29
1901,-.16,-.13,-.18,-.15,-.05,-.30,-.33,-.10,-.15,-.08,-.01,-.27,-.33,.28
1902,-.28,-.34,-.22,-.53,-.05,-.34,-1.49,-.50,-.32,-.04,-.05,-.28,-.43,-.03
1903,-.37,-.38,-.36,-.46,-.30,-.38,-.19,-.42,-.56,-.26,-.33,-.35,-.40,-.49
1904,-.47,-.49,-.46,-.51,-.48,-.44,-.18,-.60,-.55,-.46,-.50,-.37,-.49,-1.31
1905,-.26,-.29,-.23,-.40,-.09,-.35,-.01,-.23,-.62,-.12,-.06,-.32,-.37,-.33
1906,-.22,-.23,-.21,-.25,-.20,-.23,-.25,-.07,-.39,-.21,-.19,-.20,-.22,-.71
1907,-.39,-.47,-.30,-.58,-.32,-.29,-.55,-.72,-.52,-.31,-.32,-.21,-.36,-1.19
1908,-.43,-.46,-.41,-.48,-.45,-.36,-.22,-.54,-.52,-.43,-.47,-.29,-.48,.68
1909,-.49,-.50,-.48,-.53,-.49,-.44,-.72,-.62,-.44,-.45,-.54,-.37,-.52,-.56
1910,-.44,-.46,-.43,-.42,-.51,-.38,-.61,-.24,-.50,-.51,-.51,-.33,-.45,.16
1911,-.45,-.43,-.46,-.42,-.44,-.48,-.28,-.42,-.47,-.44,-.45,-.44,-.52,.06
1912,-.37,-.48,-.26,-.60,-.21,-.36,-.51,-.79,-.51,-.29,-.11,-.36,-.29,-1.63
1913,-.35,-.42,-.26,-.44,-.28,-.35,-.48,-.33,-.51,-.40,-.15,-.28,-.40,-1.03
1914,-.15,-.19,-.11,-.24,-.07,-.17,-.34,-.16,-.28,-.12,-.02,-.15,-.18,-.36
1915,-.14,-.14,-.13,-.23,-.01,-.21,-.59,-.17,-.19,-.01,-.02,-.15,-.23,-1.98
1916,-.36,-.43,-.30,-.38,-.45,-.23,-.50,-.54,-.25,-.50,-.40,-.23,-.17,-1.04
1917,-.46,-.58,-.36,-.50,-.64,-.18,-.80,-.50,-.44,-.69,-.58,-.23,-.09,.07
1918,-.30,-.41,-.20,-.41,-.34,-.13,-1.00,-.27,-.36,-.40,-.29,-.06,-.22,-.28
1919,-.28,-.36,-.20,-.44,-.20,-.22,-.69,-.56,-.31,-.24,-.17,-.15,-.32,.20
1920,-.28,-.31,-.24,-.26,-.26,-.32,-.01,-.21,-.36,-.38,-.13,-.19,-.48,-1.14
1921,-.19,-.11,-.26,.01,-.25,-.30,.00,.17,-.10,-.29,-.21,-.23,-.38,-.83
1922,-.28,-.28,-.29,-.24,-.32,-.27,-.27,-.41,-.14,-.33,-.31,-.24,-.28,-.27
1923,-.27,-.22,-.31,-.15,-.30,-.33,.21,-.15,-.26,-.33,-.27,-.26,-.41,-.54
1924,-.27,-.18,-.35,-.13,-.25,-.43,.54,-.25,-.24,-.27,-.24,-.39,-.45,-.53
1925,-.22,-.14,-.29,-.04,-.24,-.37,-.04,.17,-.19,-.28,-.19,-.24,-.54,-.86
1926,-.11,.01,-.21,.02,.01,-.40,.57,.16,-.23,.00,.03,-.35,-.45,-.63
1927,-.22,-.14,-.29,-.13,-.16,-.38,.03,-.22,-.13,-.15,-.17,-.30,-.45,-1.38
1928,-.20,-.11,-.29,-.08,-.15,-.39,.66,-.17,-.23,-.15,-.15,-.28,-.48,-2.12
1929,-.36,-.34,-.38,-.38,-.28,-.45,.13,-.61,-.39,-.27,-.28,-.42,-.44,-1.07
1930,-.16,-.02,-.29,.04,-.11,-.42,.51,.04,-.11,-.09,-.12,-.33,-.46,-2.59
1931,-.09,.05,-.21,.01,.08,-.42,.56,-.04,-.14,.10,.06,-.42,-.40,-.41
1932,-.16,-.06,-.25,.03,-.16,-.34,.46,.20,-.22,-.19,-.14,-.21,-.53,-.98
1933,-.29,-.26,-.32,-.24,-.28,-.34,-.15,-.46,-.13,-.28,-.28,-.22,-.48,-1.14
